id	timestamp	configuration_label	family_label	routing_hash	sequence_hash	certificate_hash	mode	representation	certificate_template	certification_status	u	v	C0_est	C0_lo	C0_hi	C1_est	C1_lo	C1_hi	C2_est	C2_lo	C2_hi	gamma_est	gamma_lo	gamma_hi	M_proof_est	gate_reached	improvement_source	equality_witness	notes
baseline_bz_8pi8v_seed	2026-04-01T20:06:50Z	8pi8v	dual_of_8pi_odd	9b5c7001c63e99e233afd730e2f02e227a218203cf0b09553135493cfe15f434			Mode A-fast	cellular_dihedral	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		seed	structural_gate1_accept; baseline structural dry run
baseline_bz_8pi8v_seed__cellular_dihedral_bz_standard	2026-04-01T20:14:20Z	8pi8v	dual_of_8pi_odd	9b5c7001c63e99e233afd730e2f02e227a218203cf0b09553135493cfe15f434			Mode A-fast	cellular_dihedral	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		published_seed_identity	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Regression baseline representation.
baseline_bz_8pi8v_seed__very_well_poised_7f6	2026-04-01T20:14:20Z	8pi8v	dual_of_8pi_odd	67aeda8765335ca5553963d5d90f790d26ee9053115e8b603e9c963cbf854673			Mode A-slow	very_well_poised_7F6	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Priority alternative representation from the manual's first campaign list.
baseline_bz_8pi8v_seed__beukers_j3_descent	2026-04-01T20:14:20Z	8pi8v	dual_of_8pi_odd	288bf3331ed920fa78ce70560f6795265bc7f067e96594edd48c376538626b38			Mode A-slow	beukers_j3_descent	BZ_extended		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Representation move expected to alter arithmetic while preserving the intended sequence.
baseline_bz_8pi8v_seed__dual_generalized_cellular	2026-04-01T20:14:20Z	8pi8v	dual_of_8pi_odd	39be3a515cc4292789a76c92462ff6980c17caad4f896bb1cc715df7dd039376			Mode A-slow	dual_generalized_cellular	BZ_extended		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Generalized cellular rewrite with unverified equality witness.
baseline_bz_8pi8v_seed__contiguity_reformulation	2026-04-01T20:14:20Z	8pi8v	dual_of_8pi_odd	778d56803e642930f65322cda2607e1b7ce8d95a872fb305d31be38681a2d6a3			Mode A-slow	contiguity_reformulation	new_template		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Exploratory arithmetic template for later human review.
baseline_bz_8pi8v_seed	2026-04-01T20:15:41Z	8pi8v	dual_of_8pi_odd	9b5c7001c63e99e233afd730e2f02e227a218203cf0b09553135493cfe15f434			Mode A-fast	cellular_dihedral	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		seed	structural_gate1_accept; baseline structural dry run refresh after snapshot merge fix
baseline_bz_8pi8v_seed__cellular_dihedral_bz_standard	2026-04-01T20:15:41Z	8pi8v	dual_of_8pi_odd	9b5c7001c63e99e233afd730e2f02e227a218203cf0b09553135493cfe15f434			Mode A-fast	cellular_dihedral	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		published_seed_identity	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Regression baseline representation.
baseline_bz_8pi8v_seed__very_well_poised_7f6	2026-04-01T20:15:41Z	8pi8v	dual_of_8pi_odd	67aeda8765335ca5553963d5d90f790d26ee9053115e8b603e9c963cbf854673			Mode A-slow	very_well_poised_7F6	BZ_standard		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Priority alternative representation from the manual's first campaign list.
baseline_bz_8pi8v_seed__beukers_j3_descent	2026-04-01T20:15:41Z	8pi8v	dual_of_8pi_odd	288bf3331ed920fa78ce70560f6795265bc7f067e96594edd48c376538626b38			Mode A-slow	beukers_j3_descent	BZ_extended		"[""41/2"",""7/2"",""9/2"",""11/2"",""13/2"",""15/2"",""17/2"",""19/2""]"	"[""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0""]"														gate1		none	structural_gate1_accept; campaign=bz_fixed_sequence_campaign_v1; Representation move expected to alter arithmetic while preserving the intended sequence.
